,Title,FullPath,NumPages,DocumentInfo,ProcessingTime,ProcessingTimeOCR,ProcessingTimeOCR(ms)
23,B - Analytical Series No. 1.pdf,../../38. Rosicrucian/B - Analytical Series No. 1.pdf,20.0,"{'format': 'PDF 1.7', 'title': 'rf007-4.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608114817Z', 'modDate': ""D:20200608144651+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:51:17,,0 days 00:00:45.144336
24,B - Appelatio RC.pdf,../../38. Rosicrucian/B - Appelatio RC.pdf,36.0,"{'format': 'PDF 1.6', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0.6)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20140113150014Z', 'modDate': ""D:20200608144646+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:52:02,,0 days 00:01:21.542824
25,B - Atrium I - Initiation.pdf,../../38. Rosicrucian/B - Atrium I - Initiation.pdf,16.0,"{'format': 'PDF 1.7', 'title': 'rf004-1.pmd', 'author': 'Administrator', 'subject': '', 'keywords': '', 'creator': 'PageMaker 7.0', 'producer': 'Acrobat Distiller 5.0 (Windows)', 'creationDate': 'D:20020617094253Z', 'modDate': ""D:20200608144642+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:53:24,,0 days 00:00:42.604590
26,B - Atrium I - No. 01.pdf,../../38. Rosicrucian/B - Atrium I - No. 01.pdf,16.0,"{'format': 'PDF 1.7', 'title': '', 'author': '', 'subject': '', 'keywords': '', 'creator': 'Adobe InDesign CS4 (6.0)', 'producer': 'Adobe PDF Library 9.0', 'creationDate': 'D:20200323123510Z', 'modDate': ""D:20200608144642+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:54:07,,0 days 00:00:50.635493
27,B - Atrium I - No. 02.pdf,../../38. Rosicrucian/B - Atrium I - No. 02.pdf,16.0,"{'format': 'PDF 1.7', 'title': 'rf004-3.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010611145840Z', 'modDate': ""D:20200608144643+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:54:57,,0 days 00:00:45.343736
28,B - Atrium I - No. 03.pdf,../../38. Rosicrucian/B - Atrium I - No. 03.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf004-4.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010611153248Z', 'modDate': ""D:20200608144643+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:55:43,,0 days 00:00:39.161015
29,B - Atrium I - No. 04.pdf,../../38. Rosicrucian/B - Atrium I - No. 04.pdf,16.0,"{'format': 'PDF 1.7', 'title': 'rf005-1.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20011121170247Z', 'modDate': ""D:20200608144644+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:56:22,,0 days 00:00:46.531361
30,B - Atrium I - No. 05.pdf,../../38. Rosicrucian/B - Atrium I - No. 05.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf005-2.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20011121172803Z', 'modDate': ""D:20200608144645+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:57:09,,0 days 00:00:38.389138
31,B - Atrium I - No. 06.pdf,../../38. Rosicrucian/B - Atrium I - No. 06.pdf,12.0,"{'format': 'PDF 1.7', 'title': 'rf005-3.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608123521Z', 'modDate': ""D:20200608144645+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:57:47,,0 days 00:00:39.052925
32,B - Atrium I - No. 07.pdf,../../38. Rosicrucian/B - Atrium I - No. 07.pdf,16.0,"{'format': 'PDF 1.7', 'title': 'rf005-4.p65', 'author': 'margaret', 'subject': '', 'keywords': '', 'creator': 'PageMaker 6.5', 'producer': 'Acrobat Distiller 4.0 for Windows', 'creationDate': 'D:20010608124057Z', 'modDate': ""D:20200608144646+01'00'"", 'trapped': '', 'encryption': 'Standard V4 R4 128-bit AES'}",2021-06-02 12:58:26,,0 days 00:00:44.838220
